Datetime,Time[S],Volt[V],Current[A],Power[W]
2026-04-11T14:44:54.699345,1629.2,05.1103,0.70604,03.6078
2026-04-11T14:44:55.718508,1630.2,05.1083,0.74555,03.8023
2026-04-11T14:44:56.690656,1631.2,05.1081,0.70615,03.6013
2026-04-11T14:44:57.710025,1632.2,05.1053,0.85291,04.3498
2026-04-11T14:44:58.729627,1633.2,05.1114,0.70656,03.6105
2026-04-11T14:44:59.701759,1634.2,05.1088,0.81731,04.1682
2026-04-11T14:45:00.720592,1635.2,05.1090,0.70196,03.5799
2026-04-11T14:45:01.693594,1636.2,05.1090,0.83630,04.2651
2026-04-11T14:45:02.713759,1637.2,05.1061,0.71795,03.6615
2026-04-11T14:45:03.730278,1638.2,05.1059,0.71881,03.6659
2026-04-11T14:45:04.702042,1639.2,05.1064,0.82545,04.2097
2026-04-11T14:45:05.723017,1640.2,05.1094,0.81455,04.1542
2026-04-11T14:45:06.692729,1641.2,05.1069,0.70902,03.6160
2026-04-11T14:45:07.708351,1642.2,05.1089,0.73103,03.7282
2026-04-11T14:45:08.725930,1643.2,05.1090,0.80022,04.0811
2026-04-11T14:45:09.699975,1644.2,05.1090,0.70234,03.5819
2026-04-11T14:45:10.716290,1645.2,05.1085,0.81893,04.1765
2026-04-11T14:45:11.731265,1646.2,05.1085,0.71227,03.6325
2026-04-11T14:45:12.701877,1647.2,05.1082,0.76522,03.9026
2026-04-11T14:45:13.720954,1648.2,05.1091,0.70482,03.5945
2026-04-11T14:45:14.692302,1649.2,05.1058,0.84700,04.3197
2026-04-11T14:45:15.708241,1650.2,05.1075,0.70481,03.5945
2026-04-11T14:45:16.721931,1651.2,05.1075,0.77790,03.9672
2026-04-11T14:45:17.692590,1652.2,05.1075,0.74206,03.7845
2026-04-11T14:45:18.710740,1653.2,05.1082,0.70630,03.6021
2026-04-11T14:45:19.729553,1654.2,05.1084,0.81699,04.1666
2026-04-11T14:45:20.700476,1655.2,05.1087,0.78794,04.0184
2026-04-11T14:45:21.713355,1656.2,05.1087,0.69917,03.5657
2026-04-11T14:45:22.729287,1657.2,05.1089,0.71539,03.6484
2026-04-11T14:45:23.699102,1658.2,05.1264,1.53678,07.8683
2026-04-11T14:45:24.715579,1659.2,05.1051,1.62154,08.2698
2026-04-11T14:45:25.736600,1660.2,05.0989,1.42755,07.2662
2026-04-11T14:45:26.710237,1661.2,05.1094,0.73767,03.7621
2026-04-11T14:45:27.726346,1662.2,05.1091,0.73554,03.7512
2026-04-11T14:45:28.699296,1663.2,05.1092,0.73245,03.7354
2026-04-11T14:45:29.718080,1664.2,05.1092,0.73064,03.7262
2026-04-11T14:45:30.737466,1665.2,05.1093,0.73021,03.7240
2026-04-11T14:45:31.711760,1666.2,05.1093,0.86742,04.4238
2026-04-11T14:45:32.730181,1667.2,05.1094,0.72623,03.7037
2026-04-11T14:45:33.704901,1668.2,05.1093,0.76706,03.9120
2026-04-11T14:45:34.724427,1669.2,05.1114,0.78747,04.0239
2026-04-11T14:45:35.699267,1670.2,05.1093,0.84083,04.2882
2026-04-11T14:45:36.718541,1671.2,05.1069,0.79055,04.0318
2026-04-11T14:45:37.735330,1672.2,05.1088,0.82966,04.2312
2026-04-11T14:45:38.706121,1673.2,05.1089,0.83107,04.2384
2026-04-11T14:45:39.725573,1674.2,05.1114,0.72550,03.7073
2026-04-11T14:45:40.700778,1675.2,05.1083,0.83980,04.2829
2026-04-11T14:45:41.718060,1676.2,05.1083,0.72721,03.7087
2026-04-11T14:45:42.737866,1677.2,05.1084,0.83594,04.2632
2026-04-11T14:45:43.712346,1678.2,05.1084,0.72813,03.7134
2026-04-11T14:45:44.730069,1679.2,05.1084,0.83656,04.2664
2026-04-11T14:45:45.702039,1680.2,05.1119,0.72410,03.7001
2026-04-11T14:45:46.718349,1681.2,05.1105,0.78620,04.0174
2026-04-11T14:45:47.735759,1682.2,05.1085,0.72784,03.7119
